	negtaive_h	ee	el	re	positive_h
ASV687_nasal	0.000101859371963894	0	0.000703162164487707	0.000167785234899329	0.000184816394332837
ASV701_nasal	0.00647187037756443	0.00736609444072167	0.000904224860151636	0.00589999879549282	0.00572285160498746
ASV713_nasal	8.49040584139922e-05	0.000601746532619066	0.000558269364968598	0	0
ASV782_nasal	0.000127166127950682	0.000114648949597636	0	0	0.000299889056315147
ASV785_nasal	0.000245551380862183	2.36402893571417e-05	0	0.000335570469798658	5.71277618757796e-05
ASV809_nasal	0.00126482994531719	0.00229965046417375	0.000283594082336816	0	0.000837000220958065
ASV903_nasal	0.000207461356060675	5.33457038656206e-05	0.000957033197089024	0.000389010454655968	0.000886464424867359
ASV924_nasal	0.000332225913621262	0.000381595362148676	0.00043864021533247	0.000291757840991976	0.000802262962902993
ASV1116_nasal	9.00899276272423e-05	1.51465974250784e-05	0.0019046927955203	0.0011064064839136	5.85697869172469e-05
ASV1280_nasal	0	0.00230220129186759	0.000338949257302362	0.00052013422818792	6.51071943449752e-05
ASV1333_nasal	5.94683551956452e-05	0.000312116681327329	0.000238982216911506	0	6.45910286487392e-05
ASV1350_nasal	1.55165056829202e-05	0.0048838096808172	0.000717774897816768	0.000620805369127516	0.000310253476758694
ASV1411_nasal	0.000280027341210203	0.00104129463210885	0.00043864021533247	0	3.42463928932912e-05
ASV1418_nasal	0.00028031561461794	5.52963666252122e-05	0	0	0.00056063122923588
ASV1427_nasal	0.00504888574898225	0.010117149319355	0	0	0.000492157281260733
ASV1428_nasal	0	0.00195293767427449	0	0.00192264447942433	4.98584600689924e-05
ASV1369_nasal	3.62253214997283e-05	4.11121930109272e-05	0	0.000554746161604842	0.000256772169792086
ASV1567_nasal	9.07251029380975e-05	0	0.000159505532848171	0	0.000199434368604984
ASV1122_nasal	0.000340746544884628	0.00322888383356572	0.00344383503936079	0.00256464329043336	0.00344791917521069
ASV1925_nasal	7.59829339083246e-05	0	0	0.00011744966442953	0.000135347353082661
ASV1977_nasal	0.000142119635702011	0	0	5.60349658186708e-05	2.47144401370728e-05
ASV2020_nasal	0.000188683977941091	0.00299932322311571	0.000976971388695046	0.000134228187919463	0.000512473741128088
ASV2061_nasal	4.88519785051294e-05	0	0	0.00076767903171579	0.000269671326002356
ASV2124_nasal	0.000169808116827984	4.54397922752353e-05	0	0	0.00056736269357764
ASV2130_nasal	2.71689911247962e-05	0.0061626248216833	0.00059814574818064	0.000134228187919463	0
ASV2295_nasal	0.000330705213044834	3.30964050999984e-05	0	0	0.000138403243468136
ASV2362_nasal	0.00018687707641196	0	0	0.00028523489932886	0.00037375415282392
ASV2421_nasal	0.000203769740193582	0.000572393043223014	0	0.000385906040268456	3.535422654076e-05
ASV2445_nasal	9.61115931894533e-05	0.00012766417829709	0.000498454790150534	0.00145922967501524	2.6626249723236e-05
ASV1529_nasal	0.000532904148783977	0.00319393627878171	0.000538331173362576	0.00087248322147651	0.000888110082052239
ASV2690_nasal	0.000238213949365686	9.08795845504706e-05	0.00029907287409032	0.00142177379691387	4.5629478711601e-05
ASV293_nasal	0.000443761726210078	0.00129155353342629	0.00101684777190709	0.00024313153415998	0
ASV3154_nasal	2.68312315535283e-05	5.5160675166664e-05	4.21733323961482e-05	0.000453020134228188	4.69844222284517e-05
ASV3173_nasal	0.000288161652593892	0.000428285063739965	0	0	4.5618356826787e-06
ASV3197_nasal	0.000222451395811536	0	0.000207968993713664	0	8.52271796031691e-06
ASV3234_nasal	8.15224975770921e-05	0	0	8.16060062020564e-05	3.42137676200903e-06
ASV3480_nasal	3.06620209059233e-05	0	0	0.00076709645829933	1.07395659314688e-05
ASV3553_nasal	0.000721281491895577	0.00402251149546586	0.00352905991426578	0.00144295302013423	0.00144219238748687
ASV3632_nasal	0.000910288261304134	0.00135908440629471	0	0.000171372613024319	5.54153255847262e-05
ASV3733_nasal	8.49040584139922e-05	0	0	0.000560349658186708	0.000177177125982317
ASV3989_nasal	0.0001098623712319	0	0.000189062721557877	0	9.55588367038834e-06
ASV4959_nasal	2.65911286943712e-05	0.00842492130939396	0	0.00191275167785235	6.49468734575117e-06
ASV5087_nasal	3.49331330086191e-05	0.00083657444778748	3.51895838831706e-05	0.000167785234899329	0
ASV5259_nasal	0.000504499467389005	0	0	0.00138584974471189	0.000928547309561722
ASV4606_nasal	0.000815465038214353	0.00154409340099078	0	0	5.7022946033484e-06
ASV3874_nasal	5.36624631070566e-05	2.6792327938094e-05	0	0	1.25881168177241e-05
ASV6817_nasal	1.14439390038051e-05	0.00167314889557496	9.96909580301066e-05	0	0
ASV7458_nasal	1.39577081443227e-05	2.6792327938094e-05	0	0	5.7022946033484e-06
ASV8260_nasal	0.000690271816881259	0.00144545762272714	0.000622905967495033	0	2.03234043669096e-05
ASV9619_nasal	2.92682926829268e-05	0.00029353489396052	0	0.000316070994407974	4.5618356826787e-06
ASV8418_nasal	5.96249590078407e-05	0	0	0.00031826342418802	0.000169026253413263
ASV10277_nasal	2.68312315535283e-05	2.20642700666656e-05	0	0	2.36027190332326e-05
ASV11063_nasal	0	0	0.000319011065696342	0.000369127516778524	6.51071943449752e-05
ASV9608_nasal	3.27937274543124e-05	0.000106077812251559	0	9.79272074424678e-05	9.12367136535743e-06
ASV2938_nasal	3.84626550071306e-05	0.000818225420555306	0	0	2.39496373340632e-05
ASV8749_nasal	0.000119955708661417	0.000939311660673662	0	0	3.42137676200903e-06
ASV13159_nasal	0	1.10321350333328e-05	0	0.000654362416107382	1.31118737851029e-05
ASV14654_nasal	1.81126607498642e-05	3.94004822619029e-05	0.00029907287409032	0	0
ASV11723_nasal	1.55730897009967e-05	3.36583703036716e-05	0	0	4.17841254069843e-05
OTU_1_oral	0.0522671136203246	2.26521089113396e-06	0.104542099520776	0	1.52436934616338e-05
OTU_2_oral	0.159160564087575	0.135333277084322	0.0695380373706842	0.151635906637486	0.162976070331816
OTU_4_oral	0.150963863628244	0.160950382745375	0.179021521256138	0.182088283864508	0.18520459999784
OTU_5_oral	0.120341171479304	0.117454496642941	0.101642830296765	0.13408721121438	0.136035746776773
OTU_6_oral	0.151035385125577	0.0852797438605654	0.0846917671098878	0.132967280650073	0.121095632097147
OTU_10_oral	0.060637416421915	0.122406746710076	0.129509023676134	0.0834240808246572	0.049370540238385
OTU_14_oral	0.0314074282497619	0.0468197880833717	0.0283256551135804	0.0383300215429121	0.0370071576698805
OTU_15_oral	0.0371641311718918	0.0543271908981044	0.0446116593601433	0.0367096080682025	0.0653433506952582
OTU_7_oral	0.000340001754847768	0.00121124031007752	0.00048299233546589	0.000785226378061898	0.000137398586757394
OTU_17_oral	0.0140563466689297	0.0140287582996169	0.00927777071079839	0.0139225645066815	0.0125488507151682
OTU_18_oral	0.0200973105646409	0.00737295259430113	0.00779230824054595	0.00914513069397345	0.0344948147273749
OTU_21_oral	0.0329025976859771	0.0426333262536172	0.0427847523321038	0.0387872433023382	0.0329276793885981
OTU_24_oral	0.01995162842431	0.0177833068886054	0.016862670816049	0.0268032536768401	0.0201141794975164
OTU_25_oral	0.0164749916905089	0.0234631781488195	0.0127905563289407	0.0179033333715934	0.0177850411637975
OTU_31_oral	0.0179978797999102	0.0371469787832821	0.0412397866144021	0.023150113234673	0.0131177477186855
OTU_32_oral	0.0128592191937731	0.0154018873666308	0.0143180102169357	0.0119937065036649	0.0113506517961636
OTU_34_oral	0.00806708781431906	0.0056095439717521	0.00785878687512874	0.0149628053634053	0.0060763249770624
OTU_41_oral	0.0057648496210235	0.00686517133891875	0.00533186652984236	0.0094909885880199	0.00685326125775171
OTU_47_oral	0.00706983813468318	0.00590716001629584	0.00318325299489288	0.00260449438188204	0.00455839462438061
OTU_48_oral	0.00397490927158547	0.00437600024331353	0.00420648499940597	0.00453778637083375	0.00553680902043855
OTU_49_oral	0.00652577904721304	0.00582182903384228	0.00612384775678051	0.00590189492191433	0.00679808765389057
OTU_37_oral	0.000548146267132144	7.69420426334769e-06	0.000461469264796738	1.06073958027351e-05	0
OTU_51_oral	0.00783957641526735	0.00791951759537026	0.00830320112462476	0.00823781116921384	0.00652083454802517
OTU_53_oral	0.00830480318813227	0.00998542457142376	0.00558535362829676	0.0115836220577319	0.0161291574541961
OTU_54_oral	0.00313167431240164	0.00255418544572224	0.00350707243749455	0.0033448851184278	0.00464862113909495
OTU_58_oral	0.00135655203495816	0.00230681541121815	0.0017371242191797	0.00330105875467082	0.00225153211260675
OTU_63_oral	0.00354315349468623	0.00429230619100565	0.00330943079748213	0.0037416467960652	0.00464433660324181
OTU_65_oral	0.00355453370629243	0.00580805631339497	0.00440439414221867	0.00542049029100417	0.00486749417011977
OTU_68_oral	0.00163395720368066	0.00198965698146656	0.00192733128402272	0.00155074062936814	0.00256551195440239
OTU_69_oral	0.00651838434544594	0.0103295302630384	0.00836297715015834	7.96249193588723e-05	0.0039624072682374
OTU_70_oral	0.0020754697143463	0.00259103521950961	0.00133349047143814	0.00167529609618312	0.00325701458858153
OTU_80_oral	0.00133176298710117	0.00389683711060191	0.00154521774839649	0.00297725718203298	0.00202515301614178
