"","to_taxa","from_taxa","from","to","cor","from_class","to_class","p_value","p_value_adjust","name","from_Kingdom","from_Phylum","from_Class","from_Order","from_Family","from_Genus","from_Species","to_Kingdom","to_Phylum","to_Class","to_Order","to_Family","to_Genus","to_Species","compare"
"28","ASV111","ASV122","stoolASV122","stoolASV111",0.363788036951552,"stool","stool",0,0,"stoolASV111_stoolASV122","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified_Ruminococcaceae","Unclassified_Ruminococcaceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
"29","ASV111","ASV4488","stoolASV4488","stoolASV111",0.408573451600819,"stool","stool",0,0,"stoolASV111_stoolASV4488","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hungatella","Unclassified_Hungatella","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
"30","ASV111","ASV293","stoolASV293","stoolASV111",-0.266319514619563,"stool","stool",0,0,"stoolASV111_stoolASV293","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","longicatena","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
"31","ASV111","ASV2867","stoolASV2867","stoolASV111",0.305481973888235,"stool","stool",0,0,"stoolASV111_stoolASV2867","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Unclassified_Eggerthellaceae","Unclassified_Eggerthellaceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
"32","ASV111","ASV2706","stoolASV2706","stoolASV111",0.303972506133362,"stool","stool",0,0,"stoolASV111_stoolASV2706","Bacteria","Firmicutes","Clostridia","Clostridiales","Catabacteriaceae","Catabacter","Unclassified_Catabacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
"33","ASV111","ASV1470","stoolASV1470","stoolASV111",0.243448972336684,"stool","stool",0,0,"stoolASV111_stoolASV1470","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Ihubacter","Unclassified_Ihubacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
"34","ASV111","ASV712","stoolASV712","stoolASV111",0.440211141449923,"stool","stool",0,0,"stoolASV111_stoolASV712","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Beduinibacterium","Unclassified_Beduinibacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
"35","ASV111","ASV2545","stoolASV2545","stoolASV111",0.309477983602427,"stool","stool",0,0,"stoolASV111_stoolASV2545","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Colidextribacter","Unclassified_Colidextribacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
"36","ASV111","ASV1402","stoolASV1402","stoolASV111",0.329142028561345,"stool","stool",0,0,"stoolASV111_stoolASV1402","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Raoultibacter","Unclassified_Raoultibacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
"37","ASV111","ASV1870","stoolASV1870","stoolASV111",0.419357515748724,"stool","stool",0,0,"stoolASV111_stoolASV1870","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Unclassified_Clostridiales_Incertae_Sedis_XIII","Unclassified_Clostridiales_Incertae_Sedis_XIII","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","within"
